Time:2019-07-15 12:00:00,645; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:CPU百分比统计剩余运行次数为：223 
Time:2019-07-15 12:00:24,421; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池电量统计剩余运行次数为：219 
Time:2019-07-15 12:00:24,431; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:fps统计剩余运行次数为：219 
Time:2019-07-15 12:00:24,445; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池温度统计剩余运行次数为：219 
Time:2019-07-15 12:00:26,368; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:CPU百分比统计剩余运行次数为：218 
Time:2019-07-15 12:00:28,166; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:流量统计剩余运行次数为：129 
Time:2019-07-15 12:00:29,341; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:内存统计剩余运行次数为：127 
Time:2019-07-15 12:00:29,469; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池电量统计剩余运行次数为：218 
Time:2019-07-15 12:00:29,481; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:fps统计剩余运行次数为：218 
Time:2019-07-15 12:00:29,498; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池温度统计剩余运行次数为：218 
Time:2019-07-15 12:00:31,479; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:CPU百分比统计剩余运行次数为：217 
Time:2019-07-15 12:00:34,594; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池电量统计剩余运行次数为：217 
Time:2019-07-15 12:00:34,597; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池温度统计剩余运行次数为：217 
Time:2019-07-15 12:00:34,601; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:fps统计剩余运行次数为：217 
Time:2019-07-15 12:00:36,403; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:流量统计剩余运行次数为：128 
Time:2019-07-15 12:00:36,562; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:CPU百分比统计剩余运行次数为：216 
Time:2019-07-15 12:00:37,488; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:内存统计剩余运行次数为：126 
Time:2019-07-15 12:00:39,658; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池电量统计剩余运行次数为：216 
Time:2019-07-15 12:00:39,667; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池温度统计剩余运行次数为：216 
Time:2019-07-15 12:00:39,674; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:fps统计剩余运行次数为：216 
Time:2019-07-15 12:00:41,642; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:CPU百分比统计剩余运行次数为：215 
Time:2019-07-15 12:00:44,641; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:流量统计剩余运行次数为：127 
Time:2019-07-15 12:00:44,716; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池电量统计剩余运行次数为：215 
Time:2019-07-15 12:00:44,724; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池温度统计剩余运行次数为：215 
Time:2019-07-15 12:00:44,726; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:fps统计剩余运行次数为：215 
Time:2019-07-15 12:00:45,332; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:内存统计剩余运行次数为：125 
Time:2019-07-15 12:00:46,703; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:CPU百分比统计剩余运行次数为：214 
Time:2019-07-15 12:00:49,777; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池电量统计剩余运行次数为：214 
Time:2019-07-15 12:00:49,792; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:fps统计剩余运行次数为：214 
Time:2019-07-15 12:00:49,798; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池温度统计剩余运行次数为：214 
Time:2019-07-15 12:00:51,771; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:CPU百分比统计剩余运行次数为：213 
Time:2019-07-15 12:00:52,823; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:流量统计剩余运行次数为：126 
Time:2019-07-15 12:00:53,195; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:内存统计剩余运行次数为：124 
Time:2019-07-15 12:00:54,930; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池电量统计剩余运行次数为：213 
Time:2019-07-15 12:00:54,937; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:fps统计剩余运行次数为：213 
Time:2019-07-15 12:00:54,949; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池温度统计剩余运行次数为：213 
Time:2019-07-15 12:00:56,897; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:CPU百分比统计剩余运行次数为：212 
Time:2019-07-15 12:01:00,012; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池电量统计剩余运行次数为：212 
Time:2019-07-15 12:01:00,031; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:fps统计剩余运行次数为：212 
Time:2019-07-15 12:01:00,039; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池温度统计剩余运行次数为：212 
Time:2019-07-15 12:01:01,065; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:流量统计剩余运行次数为：125 
Time:2019-07-15 12:01:01,167; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:内存统计剩余运行次数为：123 
Time:2019-07-15 12:01:01,971; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:CPU百分比统计剩余运行次数为：211 
Time:2019-07-15 12:01:05,175; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:fps统计剩余运行次数为：211 
Time:2019-07-15 12:01:05,177; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池电量统计剩余运行次数为：211 
Time:2019-07-15 12:01:05,182; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池温度统计剩余运行次数为：211 
Time:2019-07-15 12:01:07,048; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:CPU百分比统计剩余运行次数为：210 
Time:2019-07-15 12:01:09,246; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:流量统计剩余运行次数为：124 
Time:2019-07-15 12:01:09,299; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:内存统计剩余运行次数为：122 
Time:2019-07-15 12:01:10,336; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:fps统计剩余运行次数为：210 
Time:2019-07-15 12:01:10,338; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池电量统计剩余运行次数为：210 
Time:2019-07-15 12:01:10,341; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池温度统计剩余运行次数为：210 
Time:2019-07-15 12:01:12,112; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:CPU百分比统计剩余运行次数为：209 
Time:2019-07-15 12:01:15,481; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池温度统计剩余运行次数为：209 
Time:2019-07-15 12:01:15,483; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池电量统计剩余运行次数为：209 
Time:2019-07-15 12:01:15,491; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:fps统计剩余运行次数为：209 
Time:2019-07-15 12:01:17,150; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:内存统计剩余运行次数为：121 
Time:2019-07-15 12:01:17,212; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:CPU百分比统计剩余运行次数为：208 
Time:2019-07-15 12:01:17,474; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:流量统计剩余运行次数为：123 
Time:2019-07-15 12:01:20,616; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:fps统计剩余运行次数为：208 
Time:2019-07-15 12:01:20,620; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池电量统计剩余运行次数为：208 
Time:2019-07-15 12:01:20,626; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池温度统计剩余运行次数为：208 
Time:2019-07-15 12:01:22,281; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:CPU百分比统计剩余运行次数为：207 
Time:2019-07-15 12:01:24,913; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:内存统计剩余运行次数为：120 
Time:2019-07-15 12:01:25,603; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:流量统计剩余运行次数为：122 
Time:2019-07-15 12:01:25,692; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池电量统计剩余运行次数为：207 
Time:2019-07-15 12:01:25,694; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:fps统计剩余运行次数为：207 
Time:2019-07-15 12:01:25,700; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池温度统计剩余运行次数为：207 
Time:2019-07-15 12:01:27,469; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:CPU百分比统计剩余运行次数为：206 
Time:2019-07-15 12:01:30,751; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池电量统计剩余运行次数为：206 
Time:2019-07-15 12:01:30,755; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:fps统计剩余运行次数为：206 
Time:2019-07-15 12:01:30,765; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池温度统计剩余运行次数为：206 
Time:2019-07-15 12:01:33,017; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:CPU百分比统计剩余运行次数为：205 
Time:2019-07-15 12:01:33,019; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:内存统计剩余运行次数为：119 
Time:2019-07-15 12:01:33,735; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:流量统计剩余运行次数为：121 
Time:2019-07-15 12:01:35,907; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:fps统计剩余运行次数为：205 
Time:2019-07-15 12:01:35,910; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池电量统计剩余运行次数为：205 
Time:2019-07-15 12:01:35,914; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池温度统计剩余运行次数为：205 
Time:2019-07-15 12:01:38,072; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:CPU百分比统计剩余运行次数为：204 
Time:2019-07-15 12:01:40,879; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:内存统计剩余运行次数为：118 
Time:2019-07-15 12:01:40,976; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:fps统计剩余运行次数为：204 
Time:2019-07-15 12:01:40,987; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池温度统计剩余运行次数为：204 
Time:2019-07-15 12:01:40,992; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池电量统计剩余运行次数为：204 
Time:2019-07-15 12:01:41,893; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:流量统计剩余运行次数为：120 
Time:2019-07-15 12:01:43,172; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:CPU百分比统计剩余运行次数为：203 
Time:2019-07-15 12:01:46,056; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:fps统计剩余运行次数为：203 
Time:2019-07-15 12:01:46,108; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池温度统计剩余运行次数为：203 
Time:2019-07-15 12:01:46,113; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池电量统计剩余运行次数为：203 
Time:2019-07-15 12:01:48,282; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:CPU百分比统计剩余运行次数为：202 
Time:2019-07-15 12:01:48,814; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:内存统计剩余运行次数为：117 
Time:2019-07-15 12:01:50,050; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:流量统计剩余运行次数为：119 
Time:2019-07-15 12:01:51,143; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:fps统计剩余运行次数为：202 
Time:2019-07-15 12:01:51,168; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池电量统计剩余运行次数为：202 
Time:2019-07-15 12:01:51,195; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池温度统计剩余运行次数为：202 
Time:2019-07-15 12:01:53,399; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:CPU百分比统计剩余运行次数为：201 
Time:2019-07-15 12:01:56,216; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:fps统计剩余运行次数为：201 
Time:2019-07-15 12:01:56,235; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池电量统计剩余运行次数为：201 
Time:2019-07-15 12:01:56,248; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池温度统计剩余运行次数为：201 
Time:2019-07-15 12:01:56,613; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:内存统计剩余运行次数为：116 
Time:2019-07-15 12:01:58,178; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:流量统计剩余运行次数为：118 
Time:2019-07-15 12:01:58,511; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:CPU百分比统计剩余运行次数为：200 
Time:2019-07-15 12:02:01,338; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:fps统计剩余运行次数为：200 
Time:2019-07-15 12:02:01,340; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池电量统计剩余运行次数为：200 
Time:2019-07-15 12:02:01,350; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池温度统计剩余运行次数为：200 
Time:2019-07-15 12:02:03,580; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:CPU百分比统计剩余运行次数为：199 
Time:2019-07-15 12:02:04,510; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:内存统计剩余运行次数为：115 
Time:2019-07-15 12:02:06,309; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:流量统计剩余运行次数为：117 
Time:2019-07-15 12:02:06,389; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池电量统计剩余运行次数为：199 
Time:2019-07-15 12:02:06,394; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:fps统计剩余运行次数为：199 
Time:2019-07-15 12:02:06,409; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池温度统计剩余运行次数为：199 
Time:2019-07-15 12:02:08,698; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:CPU百分比统计剩余运行次数为：198 
Time:2019-07-15 12:02:11,452; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池电量统计剩余运行次数为：198 
Time:2019-07-15 12:02:11,462; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:fps统计剩余运行次数为：198 
Time:2019-07-15 12:02:11,486; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池温度统计剩余运行次数为：198 
Time:2019-07-15 12:02:12,290; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:内存统计剩余运行次数为：114 
Time:2019-07-15 12:02:13,816; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:CPU百分比统计剩余运行次数为：197 
Time:2019-07-15 12:02:14,455; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:流量统计剩余运行次数为：116 
Time:2019-07-15 12:02:16,576; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池电量统计剩余运行次数为：197 
Time:2019-07-15 12:02:16,577; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:fps统计剩余运行次数为：197 
Time:2019-07-15 12:02:16,584; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池温度统计剩余运行次数为：197 
Time:2019-07-15 12:02:18,882; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:CPU百分比统计剩余运行次数为：196 
Time:2019-07-15 12:02:20,363; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:内存统计剩余运行次数为：113 
Time:2019-07-15 12:02:21,660; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池电量统计剩余运行次数为：196 
Time:2019-07-15 12:02:21,661; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:fps统计剩余运行次数为：196 
Time:2019-07-15 12:02:21,669; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:电池温度统计剩余运行次数为：196 
Time:2019-07-15 12:02:22,603; FileName:my_log.py;-> FuncName:printLog;  LineNo.:80; LevelNo.:20;--->LevelName:INFO;----->LogMessage:流量统计剩余运行次数为：115 
